"Hour_Format_HHMMSS","Hour","Minute","Second","Hour_id"
"15:58:40",15,58,40,"155840"
"15:58:41",15,58,41,"155841"
"15:58:42",15,58,42,"155842"
"15:58:43",15,58,43,"155843"
"15:58:44",15,58,44,"155844"
"15:58:45",15,58,45,"155845"
"15:58:46",15,58,46,"155846"
"15:58:47",15,58,47,"155847"
"15:58:48",15,58,48,"155848"
"15:58:49",15,58,49,"155849"
"15:58:50",15,58,50,"155850"
"15:58:51",15,58,51,"155851"
"15:58:52",15,58,52,"155852"
"15:58:53",15,58,53,"155853"
"15:58:54",15,58,54,"155854"
"15:58:55",15,58,55,"155855"
"15:58:56",15,58,56,"155856"
"15:58:57",15,58,57,"155857"
"15:58:58",15,58,58,"155858"
"15:58:59",15,58,59,"155859"
"15:59",15,59,0,"155900"
"15:59:01",15,59,1,"155901"
"15:59:02",15,59,2,"155902"
"15:59:03",15,59,3,"155903"
"15:59:04",15,59,4,"155904"
"15:59:05",15,59,5,"155905"
"15:59:06",15,59,6,"155906"
"15:59:07",15,59,7,"155907"
"15:59:08",15,59,8,"155908"
"15:59:09",15,59,9,"155909"
"15:59:10",15,59,10,"155910"
"15:59:11",15,59,11,"155911"
"15:59:12",15,59,12,"155912"
"15:59:13",15,59,13,"155913"
"15:59:14",15,59,14,"155914"
"15:59:15",15,59,15,"155915"
"15:59:16",15,59,16,"155916"
"15:59:17",15,59,17,"155917"
"15:59:18",15,59,18,"155918"
"15:59:19",15,59,19,"155919"
"15:59:20",15,59,20,"155920"
"15:59:21",15,59,21,"155921"
"15:59:22",15,59,22,"155922"
"15:59:23",15,59,23,"155923"
"15:59:24",15,59,24,"155924"
"15:59:25",15,59,25,"155925"
"15:59:26",15,59,26,"155926"
"15:59:27",15,59,27,"155927"
"15:59:28",15,59,28,"155928"
"15:59:29",15,59,29,"155929"
"15:59:30",15,59,30,"155930"
"15:59:31",15,59,31,"155931"
"15:59:32",15,59,32,"155932"
"15:59:33",15,59,33,"155933"
"15:59:34",15,59,34,"155934"
"15:59:35",15,59,35,"155935"
"15:59:36",15,59,36,"155936"
"15:59:37",15,59,37,"155937"
"15:59:38",15,59,38,"155938"
"15:59:39",15,59,39,"155939"
"15:59:40",15,59,40,"155940"
"15:59:41",15,59,41,"155941"
"15:59:42",15,59,42,"155942"
"15:59:43",15,59,43,"155943"
"15:59:44",15,59,44,"155944"
"15:59:45",15,59,45,"155945"
"15:59:46",15,59,46,"155946"
"15:59:47",15,59,47,"155947"
"15:59:48",15,59,48,"155948"
"15:59:49",15,59,49,"155949"
"15:59:50",15,59,50,"155950"
"15:59:51",15,59,51,"155951"
"15:59:52",15,59,52,"155952"
"15:59:53",15,59,53,"155953"
"15:59:54",15,59,54,"155954"
"15:59:55",15,59,55,"155955"
"15:59:56",15,59,56,"155956"
"15:59:57",15,59,57,"155957"
"15:59:58",15,59,58,"155958"
"15:59:59",15,59,59,"155959"
"16:00",16,0,0,"160000"
"16:00:01",16,0,1,"160001"
"16:00:02",16,0,2,"160002"
"16:00:03",16,0,3,"160003"
"16:00:04",16,0,4,"160004"
"16:00:05",16,0,5,"160005"
"16:00:06",16,0,6,"160006"
"16:00:07",16,0,7,"160007"
"16:00:08",16,0,8,"160008"
"16:00:09",16,0,9,"160009"
"16:00:10",16,0,10,"160010"
"16:00:11",16,0,11,"160011"
"16:00:12",16,0,12,"160012"
"16:00:13",16,0,13,"160013"
"16:00:14",16,0,14,"160014"
"16:00:15",16,0,15,"160015"
"16:00:16",16,0,16,"160016"
"16:00:17",16,0,17,"160017"
"16:00:18",16,0,18,"160018"
"16:00:19",16,0,19,"160019"
"16:00:20",16,0,20,"160020"
"16:00:21",16,0,21,"160021"
"16:00:22",16,0,22,"160022"
"16:00:23",16,0,23,"160023"
"16:00:24",16,0,24,"160024"
"16:00:25",16,0,25,"160025"
"16:00:26",16,0,26,"160026"
"16:00:27",16,0,27,"160027"
"16:00:28",16,0,28,"160028"
"16:00:29",16,0,29,"160029"
"16:00:30",16,0,30,"160030"
"16:00:31",16,0,31,"160031"
