"Amount_Hours","Amount_Dollars","Payment_Date","Departament_id","Worked_Hours_Type_id"
4.4,132.65,"20181215",9,1
66.8,1949.76,"20171216",9,1
37.9,1109.43,"20161217",9,1
29.6,853.4599999999999,"20151219",9,1
29.8,850.16,"20171202",9,1
4.4,74.44,"20171202",9,2
3.2,54.88,"20181229",9,2
38.3,1219.5,"20161203",9,1
2.3,37.78,"20161203",9,2
14.6,454.93,"20171230",9,1
8.8,148.06,"20171230",9,2
39.800000000000004,1166.67,"20161231",9,1
8.7,155.29999999999998,"20161231",9,2
1.5,43.67,"20151205",9,1
34.699999999999996,1024.65,"20180210",9,1
34.400000000000006,1014.0699999999999,"20170211",9,1
-0.1,-1.81,"20170211",9,2
49.4,1427.3400000000001,"20160213",9,1
0.7,21.57,"20150214",9,1
5.5,158.71,"20190223",9,1
45.2,1378.26,"20180224",9,1
26.4,863.61,"20170225",9,1
29.4,849.69,"20160227",9,1
0.8,15.57,"20150228",9,1
2.8,69.31,"20190209",9,1
36,1020.89,"20180310",9,1
48,1409.02,"20170311",9,1
23.8,677.3399999999999,"20160312",9,1
2.2,73.89,"20190323",9,1
23.2,660,"20180324",9,1
53.800000000000004,1657.22,"20170325",9,1
10.1,284.08,"20160326",9,1
8,242.93,"20150328",9,1
5.3,141.36,"20190309",9,1
25.7,834.1,"20150411",9,1
3,90.8,"20190420",9,1
38.2,1137.62,"20180421",9,1
38.7,1216.55,"20170422",9,1
7.1,208.74,"20160423",9,1
29.9,946.86,"20150425",9,1
29.2,809.96,"20180407",9,1
36.6,1156.13,"20170408",9,1
8,254.23000000000002,"20160409",9,1
3.7,110.44,"20190518",9,1
28.9,802.75,"20180519",9,1
-1,-25.5,"20180519",9,2
27,814.1,"20170520",9,1
13.5,404.23999999999995,"20160521",9,1
13.5,352.06,"20150523",9,1
1.1,31.509999999999998,"20190504",9,1
32.900000000000006,949.36,"20180505",9,1
1,25.5,"20180505",9,2
17.3,557.31,"20170506",9,1
0.2,3.55,"20170506",9,2
8.3,275.36,"20160507",9,1
9,288.53,"20150509",9,1
2.5,51.5,"20150509",9,2
0.1,2.78,"20190601",9,1
1.1,24.33,"20190601",9,2
5.3,140.57,"20190615",9,1
-1.1,-24.33,"20190615",9,2
6.3999999999999995,157.68,"20180616",9,1
56.2,1809.74,"20170617",9,1
5.9,197.53,"20160618",9,1
-2,-35.5,"20160618",9,2
6,186.76,"20180602",9,1
4.9,83.61,"20180602",9,2
0.1,2.4,"20150620",9,1
1,13.5,"20150620",9,2
6.1,152.11,"20190629",9,1
25.2,798.15,"20170603",9,1
12.2,215.05,"20170603",9,2
4,106.22,"20180630",9,1
9.1,271.07,"20160604",9,1
7.6,128.70000000000002,"20160604",9,2
5.5,177.09,"20150606",9,1
0.3,4.8,"20150606",9,2
33.4,1205.6200000000001,"20170701",9,1
4,65.28,"20170701",9,2
1.5,51.64,"20180714",9,1
1.9,34.1,"20180714",9,2
30.7,1136.95,"20170715",9,1
1,16.32,"20160716",9,2
3.6,137.59,"20160702",9,1
1.9,55.879999999999995,"20190727",9,1
4.9,122.85,"20180728",9,1
154.60000000000002,5801.85,"20170729",9,1
4.1,124.98,"20160730",9,1
-0.5,-3.1999999999999993,"20150704",9,2
13,363.46,"20150801",9,1
3.1,77.41,"20190810",9,1
8.2,201.38,"20180811",9,1
40.8,1348.66,"20170812",9,1
5,149.93,"20160813",9,1
9.6,272.02,"20150815",9,1
10.5,341.3,"20140816",9,1
0.9,24.93,"20180825",9,1
24.5,768.55,"20170826",9,1
22.9,801.47,"20160827",9,1
19,545.51,"20150829",9,1
1,21.01,"20150829",9,2
33.5,1026.21,"20140830",9,1
18.3,594.78,"20160910",9,1
1.5,28.52,"20160910",9,2
